,Algorithm,Capacity,Probability,MeanReward,MeanFailureStep
0,Greedy,100,0.9,4.3349,651
1,Greedy,10,0.9,10.6754,649
2,Greedy,20,0.9,9.2432,648
3,Greedy,30,0.9,8.3326,646
4,Greedy,40,0.9,7.5487,648
5,Greedy,50,0.9,6.9708,650
6,Greedy,60,0.9,6.1602,647
7,Greedy,70,0.9,5.7104,651
8,Greedy,75,0.9,5.0,550
9,Greedy,80,0.9,5.1321,651
10,Greedy,90,0.9,4.5797,648
11,MDP,100,0.5,5.4137,652
12,MDP,100,0.9,5.3507,650
13,MDP,100,1.0,5.2673,649
14,MDP,10,0.5,1.5676,335
15,MDP,10,0.9,1.5963,335
16,MDP,10,1.0,11.4916,648
17,MDP,20,0.5,4.0724,471
18,MDP,20,0.9,4.1538,472
19,MDP,20,1.0,11.8368,649
20,MDP,30,0.5,3.434,471
21,MDP,30,0.9,3.4521,472
22,MDP,30,1.0,10.8245,648
23,MDP,40,0.5,9.8134,650
24,MDP,40,0.9,9.8649,650
25,MDP,40,1.0,9.5845,647
26,MDP,50,0.5,8.8384,650
27,MDP,50,0.9,8.9056,651
28,MDP,50,1.0,8.7632,650
29,MDP,60,0.5,-2.8576,110
30,MDP,60,0.9,-2.8631,110
31,MDP,60,1.0,7.8712,650
32,MDP,70,0.5,7.097,650
33,MDP,70,0.9,7.1549,650
34,MDP,70,1.0,6.9492,649
35,MDP,80,0.5,6.405,648
36,MDP,80,0.9,6.4611,651
37,MDP,80,1.0,6.3632,650
38,MDP,90,0.5,5.8782,652
39,MDP,90,0.9,5.8486,649
40,MDP,90,1.0,5.7434,650
