,Algorithm,Capacity,Timestep,Probability,MeanReward,MeanFailureStep
0,Greedy,100,10,0.9,29.656,4122
1,Greedy,10,10,0.9,68.715,4120
2,Greedy,20,10,0.9,64.173,4134
3,Greedy,30,10,0.9,57.937,4133
4,Greedy,40,10,0.9,52.68,4158
5,Greedy,50,10,0.9,47.185,4117
6,Greedy,60,10,0.9,42.16,4112
7,Greedy,70,10,0.9,38.769,4120
8,Greedy,80,10,0.9,34.887,4075
9,Greedy,90,10,0.9,32.448,4164
10,MDP,100,10,0.9,31.083,4120
11,MDP,10,10,0.9,-1.265,233
12,MDP,20,10,0.9,79.954,4105
13,MDP,30,10,0.9,73.922,4139
14,MDP,40,10,0.9,65.946,4161
15,MDP,50,10,0.9,59.067,4080
16,MDP,60,10,0.9,45.359,4129
17,MDP,70,10,0.9,47.713,4121
18,MDP,80,10,0.9,40.322,4155
19,MDP,90,10,0.9,33.357,4123
