,Algorithm,Capacity,Probability,MeanReward,MeanFailureStep
0,Greedy,100,0.9,27.325,3386
1,Greedy,10,0.9,78.98,3351
2,Greedy,25,0.9,65.316,3336
3,Greedy,35,0.9,57.865,3320
4,Greedy,45,0.9,49.655,3282
5,Greedy,55,0.9,44.841,3299
6,Greedy,65,0.9,40.468,3341
7,Greedy,70,0.9,39.542,3393
8,Greedy,75,0.9,36.083,3323
9,Greedy,85,0.9,32.291,3351
10,Greedy,95,0.9,29.387,3318
11,MDP,100,0.5,20.452,2608
12,MDP,100,0.9,20.207,2586
13,MDP,100,1.0,19.823,2557
14,MDP,10,0.5,-0.598,249
15,MDP,10,0.9,-0.573,249
16,MDP,10,1.0,-0.529,248
17,MDP,25,0.9,2.207,397
18,MDP,35,0.9,17.001,1410
19,MDP,45,0.9,27.606,2030
20,MDP,55,0.5,57.597,3304
21,MDP,55,0.9,57.945,3336
22,MDP,55,1.0,58.481,3348
23,MDP,65,0.9,53.064,3366
24,MDP,70,0.5,49.464,3346
25,MDP,70,0.9,49.325,3316
26,MDP,70,1.0,49.328,3325
27,MDP,75,0.9,47.721,3373
28,MDP,85,0.9,41.612,3325
29,MDP,95,0.9,37.522,3353
