x (State of Charge) @ t=i,y @ t=i,Sun?,Action @ t=i,delta_x @ t=i+1,Reward @ i
0,flying,0,float,-10,0
0,flying,0,fly,-70,0
0,flying,1,float,30,0
0,flying,1,fly,-30,10
0,floating,0,float,-10,0
0,floating,0,fly,-70,0
0,floating,1,float,30,0
0,floating,1,fly,-30,10
10,flying,0,float,-10,0
10,flying,0,fly,-70,0
10,flying,1,float,30,0
10,flying,1,fly,-30,10
10,floating,0,float,-10,0
10,floating,0,fly,-70,0
10,floating,1,float,30,0
10,floating,1,fly,-30,10
20,flying,0,float,-10,0
20,flying,0,fly,-70,0
20,flying,1,float,30,0
20,flying,1,fly,-30,10
20,floating,0,float,-10,0
20,floating,0,fly,-70,0
20,floating,1,float,30,0
20,floating,1,fly,-30,10
30,flying,0,float,-10,0
30,flying,0,fly,-70,0
30,flying,1,float,30,0
30,flying,1,fly,-30,10
30,floating,0,float,-10,0
30,floating,0,fly,-70,0
30,floating,1,float,30,0
30,floating,1,fly,-30,10
40,flying,0,float,-10,0
40,flying,0,fly,-70,0
40,flying,1,float,30,0
40,flying,1,fly,-30,10
40,floating,0,float,-10,0
40,floating,0,fly,-70,0
40,floating,1,float,30,0
40,floating,1,fly,-30,10
50,flying,0,float,-10,0
50,flying,0,fly,-70,0
50,flying,1,float,30,0
50,flying,1,fly,-30,10
50,floating,0,float,-10,0
50,floating,0,fly,-70,0
50,floating,1,float,30,0
50,floating,1,fly,-30,10
60,flying,0,float,-10,0
60,flying,0,fly,-70,0
60,flying,1,float,30,0
60,flying,1,fly,-30,10
60,floating,0,float,-10,0
60,floating,0,fly,-70,0
60,floating,1,float,30,0
60,floating,1,fly,-30,10
70,flying,0,float,-10,0
70,flying,0,fly,-70,0
70,flying,1,float,30,0
70,flying,1,fly,-30,10
70,floating,0,float,-10,0
70,floating,0,fly,-70,0
70,floating,1,float,30,0
70,floating,1,fly,-30,10
80,flying,0,float,-10,0
80,flying,0,fly,-70,0
80,flying,1,float,30,0
80,flying,1,fly,-30,10
80,floating,0,float,-10,0
80,floating,0,fly,-70,0
80,floating,1,float,30,0
80,floating,1,fly,-30,10
90,flying,0,float,-10,0
90,flying,0,fly,-70,0
90,flying,1,float,30,0
90,flying,1,fly,-30,10
90,floating,0,float,-10,0
90,floating,0,fly,-70,0
90,floating,1,float,30,0
90,floating,1,fly,-30,10
100,flying,0,float,-10,0
100,flying,0,fly,-70,0
100,flying,1,float,30,0
100,flying,1,fly,-30,10
100,floating,0,float,-10,0
100,floating,0,fly,-70,0
100,floating,1,float,30,0
100,floating,1,fly,-30,10
