,Algorithm,Capacity,Threshold,Timestep,Probability,Latitude,StartDate,EndDate,NumTimesteps,NumRuns,NumFailures,FailurePercentage,MeanFailureStep,MedianFailureStep,MeanReward,MedianReward
0,Optimal,10,,15,1.0,30.0,74,89,1440,1000,311,0.311,1206,1440.0,11.981,13.0
1,Optimal,20,,15,1.0,30.0,74,89,1440,1000,264,0.264,1270,1440.0,16.175,17.0
2,Optimal,30,,15,1.0,30.0,74,89,1440,1000,186,0.186,1306,1440.0,18.815,20.0
3,Optimal,40,,15,1.0,30.0,74,89,1440,1000,190,0.19,1310,1440.0,17.582,19.0
4,Threshold,10,0.0,15,,30.0,74,89,1440,1000,694,0.694,839,816.0,3.4470150000000066,2.6350000000000007
5,Threshold,10,0.25,15,,30.0,74,89,1440,1000,321,0.321,1206,1440.0,6.382226000000058,8.340000000000007
6,Threshold,20,0.0,15,,30.0,74,89,1440,1000,665,0.665,870,905.0,3.7160379999999895,3.2029999999999994
7,Threshold,20,0.25,15,,30.0,74,89,1440,1000,323,0.323,1216,1440.0,18.007521999999884,21.961999999999993
8,Threshold,30,0.0,15,,30.0,74,89,1440,1000,652,0.652,875,836.0,3.814256000000027,3.222999999999999
9,Threshold,30,0.25,15,,30.0,74,89,1440,1000,382,0.382,1210,1440.0,16.24125999999987,19.738000000000003
10,Threshold,40,0.0,15,,30.0,74,89,1440,1000,630,0.63,913,1008.0,4.162552000000018,3.8219999999999965
11,Threshold,40,0.25,15,,30.0,74,89,1440,1000,370,0.37,1153,1440.0,13.970647999999914,17.792000000000012
